KEY,SPANISH,ENGLISH
tutorial_01,¡Bienvenido! Esto es el tutorial.,Welcome! This is the tutorial.
tutorial_02, ¿No me reconoces? Soy tu tío Chiringelio.,Don't you recognize me? I'm your Uncle Chiringelio.
tutorial_03, Te voy a dar 500 Chirisetas ¡Pero no te las gastes todas en beberte unas birras!,I'm going to give you 500 Chirisetas, but don't spend them all on beer!
tutorial_04, Antes de empezar el día comprate unas mesas y sillas.,Before you start your day, buy at least a table and a chair.
tutorial_05, Que los clientes suelen venir en grupos y se tendrán que poder sentar en algún sitio.,Customers will need to be able to sit down somewhere.
tutorial_06, Ahora abre el inventario y coloca los objetos haciendo click izquierdo.,Now open your inventory and place the items by left-clicking on them.
tutorial_07, Acuerdate de que puedes agarrar los objetos y moverlos.,Remember that you can grab the items and move them.
tutorial_08, También recuerda que puedes recogerlos haciendo click derecho.,Also remember that you can pick them up by right-clicking on them.
tutorial_09, Por último necesitarás comprar comida; pero esta vez te he traido un lote de productos.,Finally, you'll need to buy some food; but this time I've brought you a selection of items.
tutorial_10, Qué consentido te tengo; en mis tiempos si queriamos comer teníamos que cazar nuestra comida.,You're so spoiled; back in my day, if we wanted to eat, we had to hunt for our food.
tutorial_11, Ale! Que me hago viejo (más aún) ¿A qué esperas? ¡Abre la puerta y que comience el día!,Hey! I'm getting old (even more so). What are you waiting for? Open the door and let the day begin!.
tutorial_12, Antes de empezar el día comprate al menos una mesa y una silla.,Before you start your day, buy at least a table and a chair.